subject,relation,object
阴郄,刺灸法,直刺0.3～0.5寸。
阴郄,附注,手少阴经郄穴。
神门,拼音,Shénmén
神门,定位,在腕部，腕掌侧横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷处。
神门,解剖,在尺侧腕屈肌与指浅屈肌之间，深层为指深屈肌；有尺动脉通过；布有前臂内侧皮神经，尺侧为尺神经。
神门,主治,心病，心烦，惊悸，怔仲，健忘，失眠，癫狂痫，胸胁痛。
神门,配伍,配内关、心俞治心痛；配内关、三阳交治健忘、失眠。
神门,刺灸法,直刺0.3～0.5寸。
神门,附注,手少阴经所注为“输”，心经原穴。
少府,拼音,Shàofǔ
少府,定位,在手掌面，第４、５掌骨之间，握拳时，当小指尖处。
少府,解剖,在第四、五掌骨间，有第四蚓状肌，指浅、深屈肌腱，深部为骨间肌；有指掌侧总动、静脉；布有第四指掌侧固有神经。
少府,主治,心悸，胸痛，小便不利，遗尿，阴痒痛，小指挛痛。
少府,配伍,配内关治心悸。
少府,刺灸法,直刺0.3～0.5寸。
少府,附注,手少阴经所溜为“荥”。
少冲,拼音,Shàochōng
少冲,定位,在小指末节桡侧，距指甲角0.1寸。
少冲,解剖,有指掌侧固有动、静脉所形成的动、静脉网；布有指掌侧固有神经。
少冲,主治,心悸，心痛，胸胁痛，癫狂，热病，昏迷。
少冲,配伍,配太冲、中冲、大椎治热病、昏迷。
少冲,刺灸法,浅刺0.1寸或点刺出血。
少冲,附注,手少阴经所出为“井”。
少泽,拼音,Shàozé
少泽,定位,在小指末节尺侧，距指甲角0.1寸。
少泽,解剖,有指掌侧固有动、静脉，指背动脉形成的动、静脉网；布有尺神经手背支。
少泽,主治,头痛，目翳，咽喉肿痛，乳痈，乳汁少，昏迷，热病。
少泽,配伍,配膻中、乳根治乳汁少、乳痈。
少泽,刺灸法,浅刺0.1寸或点刺出血。
少泽,附注,手太阳经所出为“井”。
前谷,拼音,Qiángǔ
前谷,定位,在手掌尺侧，微握拳，当小指本节（第５指掌关节）前的掌指横纹头赤白肉际。
前谷,解剖,有指背动、静脉；布有尺神经手背支。
前谷,主治,头痛，目痛，耳鸣，咽喉肿痛，乳少，热病。
前谷,配伍,配耳门、翳风治耳鸣。
前谷,刺灸法,直刺0.3～0.5寸。
前谷,附注,手太阳经所溜为“荥”。
后溪,拼音,Hòuxī
后溪,定位,在手掌尺侧，微握拳，当小指本节（第５指掌关节）后的远侧掌横纹头赤白肉际。
后溪,解剖,在小指尺侧，第五掌骨小头后方，当小指展肌起点外缘；有指背动、静脉，手背静脉网；布有尺神经手背支。
后溪,主治,头项强痛，目赤，耳聋，咽喉肿痛，腰背痛，癫狂痫，疟疾，手指及肘臂挛痛。
后溪,配伍,配列缺、悬钟治项强痛；配人中治急性腰扭伤。
后溪,刺灸法,直刺0.5～1寸。
后溪,附注,手太阳经所注为“输”；八脉交会穴之一，通督脉。
腕骨,拼音,Wàngǔ
腕骨,定位,在手掌尺侧，当第５掌骨基底与钩骨之间的凹陷处，赤白肉际。
腕骨,解剖,在手背尺侧，小指展肌起点外缘；有腕背侧动脉（尺动脉分支），手背静脉网；布有尺神经手背支。
腕骨,主治,头项强痛，耳鸣，目翳，黄疸，热病，疟疾，指挛腕痛。
腕骨,配伍,配阳陵泉、肝俞、胆俞治黄疸。
腕骨,刺灸法,直刺0.3～0.5寸。
腕骨,附注,手太阳经所过为“原”。
阳谷,拼音,Yánggǔ
阳谷,定位,在手腕尺侧，当尺骨茎突与三角骨之间的凹陷处。
阳谷,解剖,当尺侧腕伸肌腱的尺侧缘；有腕背侧动脉；布有尺神经手背支。
阳谷,主治,头痛，目眩，耳鸣，耳聋，热病，癫狂痫，腕痛。
阳谷,配伍,配阳池治腕痛。
阳谷,刺灸法,直刺0.3～0.5寸。
阳谷,附注,手太阳经所行为“经”。
养老,拼音,Yǎnglǎo
养老,定位,在前臂背面尺侧，当尺骨小头近端桡侧凹缘中。
养老,解剖,左尺骨背面，尺骨茎突上方，尺侧腕伸肌腱和小指固有伸肌腱之间；布有前臂骨间背侧动、静脉的末支，腕静脉网；有前臂背侧皮神经和尺神经。
养老,主治,目视不明，肩、背、肘、臂酸痛。
养老,配伍,配太冲、足三里治目视不明。
养老,刺灸法,直刺或斜刺0.5～0.8寸。
养老,附注,手太阳经郄穴。
支正,拼音,Zhīzhèng
支正,定位,在前臂背面尺侧，当阳谷与小海的连线上，腕背横纹上5寸。
支正,解剖,在尺骨背面，尺侧腕伸肌的尺侧缘；布有骨间背侧动、静脉；布有前臂内侧皮神经分支。
支正,主治,头痛，目眩，热病，癫狂，项强，肘臂酸痛。
支正,配伍,配合谷治头痛。
支正,刺灸法,直刺或斜刺0.5～0.8寸。
支正,附注,手太阳经络穴。
小海,拼音,Xiǎohǎi
小海,定位,在肘内侧，当尺骨鹰嘴与肱骨内上髁之间凹陷处。
小海,解剖,尺神经沟中，为尺侧腕屈肌的起始部；有尺侧上、下副动脉和副静脉以及尺返动、静脉；布有前臂内侧皮神经，尺神经本干。
小海,主治,肘臂疼痛，癫痫。
小海,配伍,配手三里治肘臂疼痛。
小海,刺灸法,直刺0.3～0.5寸。
小海,附注,手太阳经所入为“合”。
肩贞,拼音,Jiānzhēn
肩贞,定位,在肩关节后下方，臂内收时，腋后纹头上1寸。
肩贞,解剖,在肩关节后下方，肩胛骨外侧缘，三角肌后缘，下层是大圆肌；有旋肩胛动、静脉；布有腋神经分支，最深部上方为桡神经。
肩贞,主治,肩臂疼痛，瘰疬，耳鸣。
肩贞,刺灸法,直刺1～1.5寸。
臑俞,拼音,Nàoshū
臑俞,定位,在肩部，当腋后纹头直上，肩胛冈下缘凹陷中。
臑俞,解剖,在肩胛骨关节窝后方三角肌中，深层为岗下肌；有旋肱后动、静脉；布有腋神经，深层为肩胛上神经。
臑俞,主治,肩臂疼痛，瘰疬。
臑俞,配伍,配肩髃、曲池治肩臂疼痛。
臑俞,刺灸法,直刺或斜刺0.5～1.5寸。
臑俞,附注,手、足太阳，阳维脉与阳跷脉交会穴。
天宗,拼音,Tiānzōng
天宗,定位,在肩胛部，当岗下窝中央凹陷处，与第４胸椎相平。
天宗,解剖,在岗下窝中央岗下肌中；有旋肩胛动、静脉肌支；布有肩胛神经。
天宗,主治,肩胛疼痛，气喘，乳痈。
天宗,配伍,配肩外俞治肩胛痛；配膻中、足三里治乳痈。
天宗,刺灸法,直刺或斜刺0.5～1寸。
秉风,拼音,Bǐngfēng
秉风,定位,在肩胛部，岗上窝中央，天宗直上，举臂有凹陷处。
秉风,解剖,在肩胛岗上缘中央，表层为斜方肌，再下为岗上肌；有肩胛动、静脉；布有锁骨上神经和副神经，深层为肩胛上神经。
秉风,主治,肩胛疼痛，上肢酸麻。
秉风,配伍,配天宗治肩胛疼痛。
秉风,刺灸法,直刺或斜刺0.5～1寸。
秉风,附注,手三阳与足少阳经交会穴。
曲垣,拼音,Qūyuán
曲垣,定位,在肩胛部，岗上窝内侧端，当臑俞与第２胸椎棘突连线的中点处。
曲垣,解剖,在肩胛岗上缘，斜方肌和岗上肌中；有颈横动、静脉降支，深层为肩胛上动、静脉肌支；布有第二胸神经后支外侧皮支、副神经，深层为肩胛上神经肌支。
曲垣,主治,肩胛疼痛。
曲垣,配伍,配天宗、秉风治肩胛疼痛。
曲垣,刺灸法,直刺或斜刺0.5～1寸。
肩外俞,拼音,Jiānwàishū
肩外俞,定位,在背部，当第１胸椎棘突下，旁开3寸。
肩外俞,解剖,在肩胛骨内侧角边缘，表层为斜方肌，深层为肩胛提肌和菱形肌；有颈横动、静脉，布有第一神经后支内侧皮支，肩胛背神经和副神经。
肩外俞,主治,肩背疼痛，颈项强急。
肩外俞,配伍,配肩中俞、大椎、列缺治肩背疼痛。
肩外俞,刺灸法,斜刺0.5～0.8寸。
肩中俞,拼音,Jiānzhōngshū
肩中俞,定位,在背部，当第７颈椎棘突下，旁开２寸。
肩中俞,解剖,在第一胸椎横突端，在肩胛骨内侧角边缘，表层为斜方肌，深层为肩胛提肌和菱形肌；有颈横动、静脉；布有第一胸神经后支内侧皮支，肩胛神经和副神经。
肩中俞,主治,咳嗽，气喘，肩背疼痛，目视不明。
肩中俞,配伍,配肩外俞，大椎治肩背疼痛。
肩中俞,刺灸法,斜刺0.5～0.8寸。
天窗,拼音,Tiānchuāng
天窗,定位,在颈外侧部，胸锁乳突肌的后缘，扶突后，与喉结相平。
天窗,解剖,在斜方肌前缘，肩胛提肌后缘，深层为头夹肌；有耳后动、静脉及枕动、静脉分支；布有颈皮神经，正当耳大神经丛的发出部及枕小神经。
天窗,主治,耳鸣，耳聋，咽喉肿痛，颈项强痛，暴喑。
天窗,配伍,配列缺治颈项强痛。
天窗,刺灸法,直刺0.5～1寸。
天容,拼音,Tiānróng
天容,定位,在颈外侧部，当下颌角的后方，胸锁乳突肌的前缘凹陷中。
天容,解剖,在下颌角后方，胸锁乳突肌停止部前缘，二腹肌后腹的下缘；前方有颈外浅静脉、颈内动、静脉；布有耳大神经的前支，面神经的颈支、副神经，其深层为交感神经于的颈上神经节。
天容,主治,耳鸣，耳聋，咽喉肿痛，颈项强痛。
天容,配伍,配列缺治颈项强痛。
天容,刺灸法,直刺0.5～1寸。
颧髎,拼音,Quánliáo
颧髎,定位,在面部，当目外眦直下，颧骨下缘凹陷处。
颧髎,解剖,在颧骨下颌突的后下缘稍后，咬肌的起始部，颧肌中；有面横动、静分支；布有面神经及眶下神经。
颧髎,主治,口眼歪斜，眼睑（目闰）动，齿痛，颊肿。
颧髎,配伍,配地仓、颊车治口歪；配合谷治齿痛。
颧髎,刺灸法,直刺0.3～0.5寸，斜刺或平刺0.5～1寸。
颧髎,附注,（1）手少阳，太阳经交会穴；（2）《图翼》：禁灸。
听宫,拼音,Tīnggōng
听宫,定位,在面部，耳屏前，下颌骨髁状突的后方，张口时呈凹陷处。
听宫,解剖,有颞浅动、静脉的耳前支；布有面神经及三叉神经的第三支的耳颞神经。
听宫,主治,耳鸣，耳聋，聤耳，齿痛，癫狂痫。
听宫,配伍,配翳风、中渚治耳鸣、耳聋。
听宫,刺灸法,张口，直刺1～1.5寸。
听宫,附注,手、足少阳与手太阳经交会穴。
睛明,拼音,Jīngmíng
睛明,定位,在面部，目内眦角稍上方凹陷处。
睛明,解剖,在眶内缘睑内侧韧带中，深部为眼内直肌；有内眦动、静脉和滑车上下动、静脉，深层上方有眼动、静脉本干；布有滑车上、下神经，深层为眼神经，上方为鼻睫神经。
睛明,主治,目赤肿痛，流泪，视物不明，目眩，近视，夜盲，色盲。
睛明,配伍,配球后、光明治视目不明。
睛明,刺灸法,嘱患者闭目，医者左手轻推眼球向外侧固定，左手缓慢进针，紧靠眶缘直刺0.5～1寸。不捻转，不提插（或只轻微地捻转和提插）。出针后按压针孔片刻，以防出血。本穴禁灸。
睛明,附注,手足太阳、足阳明、阴跷、阳跷五脉交会穴。（《素问·气府论·注》）
攒竹,拼音,Cuánzhú
攒竹,定位,在面部，当眉头陷中，眶上切迹处。
攒竹,解剖,有额肌及皱眉肌；当额动、静脉处；布有额神经内侧支。
攒竹,主治,头痛，口眼歪斜，目视不明，流泪，目赤肿痛，眼睑（目闰）动，眉棱骨痛，眼睑下垂。
攒竹,配伍,配阳白治口眼歪斜、眼睑下垂。
攒竹,刺灸法,平刺0.5～0.8寸。禁灸。
眉冲,拼音,Méichōng
眉冲,定位,在头部，当攒竹直上入发际０.５寸，神庭与曲差连线之间。
眉冲,解剖,有额肌；当额动、静脉处；布有额神经内侧支。
眉冲,主治,头痛，眩晕，鼻塞，癫痫。
眉冲,配伍,配太阳治头痛。
眉冲,刺灸法,平刺0.3～0.5寸。
曲差,拼音,Qǔchā
曲差,定位,在头部，当前发际正中直上０.５寸，旁开１.５寸，即神庭与头维连线的内１/３与中１/３交点。
曲差,解剖,有额肌；当额动、静脉处；布有额神经内侧支。
曲差,主治,头痛，鼻塞，鼽衄，目视不明。
曲差,配伍,配合谷治头痛、鼻塞。
曲差,刺灸法,平刺0.5～0.8寸。
五处,拼音,Wǔchù
五处,定位,在头部，当前发际正中直上１寸，旁开１.５寸。
五处,解剖,有额肌；当额动、静脉处；布有额神经内侧支。
五处,主治,头痛，目眩，癫痫。
五处,配伍,配合谷、太冲治头痛、目眩。
五处,刺灸法,平刺0.5～0.8寸。
承光,拼音,Chéngguāng
承光,定位,在头部，当前发际正中直上２.５寸，旁开１.５寸。
承光,解剖,有帽状腱膜；有额动、静脉，颞浅动、静脉及枕动、静脉的吻合网；当额神经外侧支和枕大神经会合支处。
承光,主治,头痛，目眩，鼻塞，热病。
承光,配伍,配百会治头痛。
承光,刺灸法,平刺0.3～0.5寸。
通天,拼音,Tōngtiān
通天,定位,在头部，当前发际正中直上４寸，旁开１.５寸。
通天,解剖,有帽状腱膜；有颞浅动、静脉和枕动、静脉的吻合网；布有枕大神经分支。
通天,主治,头痛，眩晕，鼻塞，鼻衄，鼻渊。
通天,配伍,配迎香、合谷治鼻疾。
通天,刺灸法,平刺0.3～0.5寸。
络却,拼音,Luòquè
络却,定位,在头部，当前发际正中直上５.５寸，旁开１.５寸。
络却,解剖,在枕肌停止处；有枕动、静脉分支；布有枕大神经分支。
络却,主治,头晕，目视不明，耳鸣。
络却,配伍,配风池治头晕。
络却,刺灸法,平刺0.3～0.5寸。
玉枕,拼音,Yùzhěn
玉枕,定位,在后头部，当后发际正中直上２.５寸，旁开１.３寸平枕外隆凸上缘的凹陷处。
玉枕,解剖,有枕肌；有枕动、静脉；布有枕大神经分支。
玉枕,主治,头项痛，目痛，鼻塞。
玉枕,配伍,配大椎治头项痛。
玉枕,刺灸法,平刺0.3～0.5寸。
天柱,拼音,Tiānzhù
天柱,定位,在项部大筋（斜方肌）外缘之后发际凹陷中，约当后发际正中旁开１.３寸。
天柱,解剖,在斜方肌起部，深层为头半棘肌：有枕动、静脉干；布有枕大神经干。
天柱,主治,头痛，项强，鼻塞，癫狂痫，肩背病，热病。
天柱,配伍,配大椎治头痛项强。
天柱,刺灸法,直刺或斜刺0.5～0.8寸，不可向内上方深刺，以免伤及延髓。
大杼,拼音,dàzhù
大杼,定位,在背部，当第１胸椎棘突下，旁开１.５寸。
大杼,解剖,有斜方肌，菱形肌，上后锯肌，最深层为最长肌；有第一肋间动、静脉后支布有第一胸神经后支的皮支，深层为第一胸神经后支外侧支。
大杼,主治,咳嗽，发热，项强，肩背痛。
大杼,配伍,配肩中俞、肩外俞治肩背痛。
大杼,刺灸法,斜刺0.5～0.8寸。
大杼,附注,（1）八会穴之一，骨会大杼；手足太阳经交会穴。（2）本经背部诸穴，不宜深刺，以免伤及内部重要脏器。
风门,拼音,fēngmén
风门,定位,在背部，当第２胸椎棘突下，旁开１.５寸。
风门,解剖,有斜方肌，菱形肌，上后锯肌，深层为最肌；有第二肋间动、静脉后支；布有二、三胸神经后支的皮支，深层为第三胸神经后支外侧支。
风门,主治,伤风，咳嗽，发热头痛，项强，胸背痛。
风门,配伍,配肺俞、大椎治咳嗽、气喘；配合谷治伤风咳嗽。
风门,刺灸法,斜刺0.5～0.8寸。
风门,附注,足太阳经与督脉交会穴。
肺俞,拼音,fèishū
肺俞,定位,在背部，当第３胸椎棘突下，旁开１.５寸。
肺俞,解剖,有斜方肌、菱形肌，深层为最长肌；有第三肋间动、静脉后支；布有第三或第四胸神经后支的皮支，深层为第三胸神经后支外侧支。
肺俞,主治,咳嗽，气喘，吐血，骨蒸，潮热，盗汗，鼻塞。
肺俞,配伍,配风门治咳嗽喘；配合谷、迎香治鼻疾。
肺俞,刺灸法,斜刺0.5～0.8寸。
肺俞,附注,肺的背俞穴。
厥阴俞,拼音,juéyīnshū
厥阴俞,定位,在背部，当第４胸椎棘突下，旁开１.５寸。
厥阴俞,解剖,有斜方肌、菱形肌，深层为最长肌；布有第四肋间动、静脉后支；正当第四或第五胸神经后支的皮支，深层为第四胸神经后支外侧支。
厥阴俞,主治,咳嗽，心痛，胸闷，呕吐。
厥阴俞,配伍,配内关治心痛、心悸。
厥阴俞,刺灸法,斜刺0，5～0.8寸
厥阴俞,附注,心包背俞穴。
心俞,拼音,Xīnshū
心俞,定位,在背部，当第５胸椎棘突下，旁开１.５寸。
心俞,解剖,有斜方肌，菱形肌，深层为最长肌；有第五肋间动、静脉后支；布有第五或第六胸神经后支的皮支，深层为第五胸神经后支外侧支。
心俞,主治,心痛，惊悸，咳嗽，吐血，失眠，健忘，盗汗，梦遗，癫痫。
心俞,配伍,配巨阙、内关治心痛、惊悸；配内关、神门治失眠、健忘。
心俞,刺灸法,斜刺0.5～0.8寸。
心俞,附注,心的背俞穴。
督俞,拼音,Dūshū
督俞,定位,在背部，当第６胸椎棘突下，旁开１.５寸。
督俞,解剖,有斜方肌，背阔肌肌腱，最长肌；有第六肋间动、静脉后支，颈横动脉降支；布有肩胛背神经，第六或第七胸神经后支的皮支，深层为第六胸神经后支外侧支。
督俞,主治,心痛，胸闷，腹痛，寒热、气喘。
督俞,配伍,配内关治心痛、胸闷。
督俞,刺灸法,斜刺0.5～0.8寸。
膈俞,拼音,Géshū
膈俞,定位,在背部，当第７胸椎棘突下，旁开１.５寸。
膈俞,解剖,在斜方肌下缘，有背阔肌，最长肌；布有第七肋间动、静脉后支；布有第七或第八胸神经后支的皮支，深层为第七胸神经后支外侧支。
膈俞,主治,呕吐，呃逆，气喘，咳嗽，吐血，潮热，盗汗。
膈俞,配伍,配内关、足三里治呕吐、呃逆；配足三里、血海、肓膏治贫血。
膈俞,刺灸法,斜刺0.5之0.8寸。
膈俞,附注,（1）八会穴之一，血会膈俞。（2）参考资料：据报道，用人工放血造成家免的贫血状态（红细胞在400万／mm’以下，血红蛋白在65两以下），针刺“膈俞”、“膏盲”，结果与对照组相比，大大提前纠正了贫血状态，迅速恢复正常。
肝俞,拼音,Gānshū
肝俞,定位,在背部，当第９胸椎棘突下，旁开１.５寸。
肝俞,解剖,在背阔肌，最长肌和髂肋肌之间；有第九肋间动、静脉后支；布有第九或第十胸神经后支的皮支，深层为第九胸神经后支外侧支。
肝俞,主治,黄疸，胁痛，吐血，目赤，目眩，雀目，癫狂痫，脊背痛。
肝俞,配伍,配支沟、阳陵泉治胁痛；配太冲治目眩。
肝俞,刺灸法,斜刺0.5～0.8寸。
肝俞,附注,肝的背俞穴。
胆俞,拼音,Dǎnshū
胆俞,定位,在背部，当第１０胸椎棘突下，旁开１.５寸。
胆俞,解剖,在背阔肌，最长肌和腱肋肌之间；有第十肋间动、静脉后支；布有第十胸神经后支的皮支，深层为第十胸神经后支的外侧支。
胆俞,主治,黄疸，口苦，肋痛，肺痨，潮热。
胆俞,配伍,配阳陵泉、太冲胆道疾病。
胆俞,刺灸法,斜刺0.5～0.8寸。
胆俞,附注,胆的背俞穴。
脾俞,拼音,Pǐshū
脾俞,定位,在背部，当第１１胸椎棘突下，旁开１.５寸。
脾俞,解剖,在背阔肌，最长肌和髂肋肌之间；有第十一肋间动、静脉后支；布有第十一胸神经后支的皮支，深层为第十一胸神经后支肌支。
脾俞,主治,腹胀，黄疸，呕吐，泄泻，痢疾，便血，水肿，背痛。
脾俞,配伍,配足三里治腹脱、便秘。
脾俞,刺灸法,斜刺0.5～0.8寸。
脾俞,附注,脾的背俞穴。
胃俞,拼音,Wèishū
胃俞,定位,在背部，当第１２胸椎棘突下，旁开１.５寸。
胃俞,解剖,在腰背筋膜，最长肌和髂肋肌之间；有肋下动、静脉后支；布有第十二胸神经后支的皮支，深层为第十二胸神经后支外侧支。
胃俞,主治,胸胁痛，胃脘痛，呕吐，腹胀，肠鸣。
胃俞,配伍,配中脘、梁丘治胃痛。
胃俞,刺灸法,斜刺0.5～0.8寸。
胃俞,附注,胃的背俞穴。
三焦俞,拼音,Sānjiāoshū
三焦俞,定位,在腰部，当第１腰椎棘突下，旁开１.５寸。
三焦俞,解剖,在腰背筋膜，最长肌和髂肋肌之间；有第一腰动、静脉后支；布有第十胸神经后支的皮支，深层为第一腰神经后支外侧支。
三焦俞,主治,肠鸣，腹胀，呕吐，泄泻，痢疾，水肿，腰背强痛。
三焦俞,配伍,配气海、足三里治肠鸣、腹胀。
三焦俞,刺灸法,直刺0.5～1寸。
三焦俞,附注,三焦背俞穴。
肾俞,拼音,Shènshū
肾俞,定位,在腰部，当第２腰椎棘突下，旁开１.５寸。
肾俞,解剖,在腰背筋膜，最长肌和髂肋肌之间：有第二腰动、静脉后支；布有第一腰神经后支的外侧支，深层为第一腰丛。
肾俞,主治,遗尿，遗精，阳萎，月经不调，白带，水肿，耳鸣，耳聋，腰痛。
肾俞,配伍,配太溪、三阴交治月经不调；配翳风、耳门治耳鸣、耳聋。
肾俞,刺灸法,直刺0.5～1寸。
肾俞,附注,（1）肾的背俞穴。（2）据实验观察针刺对正常人水负荷后肾脏泌尿功能的影响，发现在大多数情况下，针刺肾俞或京门穴时可抑制肾脏的泌尿功能。
气海俞,拼音,Qìhǎishū
气海俞,定位,在腰部，当第３腰椎棘突下，旁开１.５寸。
气海俞,解剖,在腰背筋膜，最长肌和髂肋肌之间；有第二腰动、静脉后支；布有第二腰神经后支的外侧支，深层为第一腰丛。
气海俞,主治,肠鸣腹胀，痔漏，痛经，腰痛。
气海俞,配伍,配足三里、天枢治腹胀、肠鸣。
气海俞,刺灸法,直刺0.5～1寸。
大肠俞,拼音,Dàchángshū
大肠俞,定位,在腰部，当第４腰椎棘突下，旁开１.５寸。
大肠俞,解剖,在腰背筋膜，最长肌和髂肋肌之间；有第四腰动、静脉后支；布有第三腰神经皮支，深层为腰丛。
大肠俞,主治,腹胀，泄泻，便秘，腰痛。
大肠俞,配伍,配气海、足三里、支沟治便秘。
大肠俞,刺灸法,直刺0.8～1.2寸。
大肠俞,附注,大肠背俞穴。
关元俞,拼音,Guānyuánshū
关元俞,定位,在腰部，当第５腰椎棘突下，旁开１.５寸。
关元俞,解剖,有骶棘肌，有腰最下动、静脉后支的内侧支；布有第五腰神经后支。
关元俞,主治,腹胀、泄泻，小便频数或不利，遗尿，腰痛。
关元俞,配伍,配气海治腹胀。
关元俞,刺灸法,直刺0.8～1.2寸。
小肠俞,拼音,Xiǎochángshū
小肠俞,定位,在骶部，当骶正中嵴旁１.５寸，平第１骶后孔。
小肠俞,解剖,在骶髂肌起始部和臀大肌起始部之间；有骶外侧动、静脉后支的外侧支；布有第一骶神经后支外侧支，第五腰神经后支
小肠俞,主治,遗精，遗尿，尿血，白带，小腹胀痛，泄泻，痢疾，疝气，腰腿疼
小肠俞,配伍,配天枢、足三里、上巨虚、关元治腹胀、痢疾、便秘。配肾俞、三阴交、三焦俞、关元、曲泉治泌尿系结石。
小肠俞,刺灸法,直刺或斜刺０.８～１寸；灸３～７壮。
膀胱俞,拼音,Pángguāngshū
膀胱俞,定位,在骶部，当骶正中嵴旁１.５寸，平第２骶后孔。
膀胱俞,解剖,在骶棘肌起部和臀大肌起部之间；有骶外侧动、静脉后支；布有臀中皮神经分支。
膀胱俞,主治,小便不利，遗尿，泄泻，便秘，腰脊强痛。
膀胱俞,配伍,配肾俞治小便不利。
膀胱俞,刺灸法,直刺或斜刺0.8～1.2寸。
膀胱俞,附注,膀胱背俞穴。
中膂俞,拼音,Zhōnglǚshū
中膂俞,定位,在骶部，当骶正中嵴旁１.５寸，平第３骶后孔。
中膂俞,解剖,有臀大肌，深层为骶结节韧带起始部；当臀下动、静脉的分支处，布有臀下皮神经。
中膂俞,主治,泄泻，疝气，腰脊强痛。
中膂俞,配伍,配大敦治疝气。
中膂俞,刺灸法,直刺1～1.5寸。
白环俞,拼音,Báihuánshū
白环俞,定位,在骶部，当骶正中嵴旁１.５寸，平第４骶后孔。
白环俞,解剖,在臀大肌，骶结节韧带下内缘；有臀下动、静脉，深层为阴部内动、静脉；布有皮神经，深层为阴部神经。
白环俞,主治,遗尿，疝气，遗精，月经不调，白带，腰部疼痛。
白环俞,配伍,配三阴交、肾俞、治遗尿、月经不调。
白环俞,刺灸法,直刺1～1.5寸。
上髎,拼音,Shàngliáo
上髎,定位,在骶部，当髂后上棘与中线之间，适对第１骶后孔处。
上髎,解剖,在骶棘肌起始部及臀大肌起始部；当额外
上髎,主治,大小便不利，月经不调，带下，阴挺，遗精，阳萎，腰痛。
上髎,配伍,配三阴交、中极、治小便不利。
上髎,刺灸法,直刺1～1.5寸。
次髎,拼音,Cìliáo
次髎,定位,在骶部，当髂后上棘内下方，适对第２骶后孔处。
次髎,解剖,在臀大肌起始部；当骶外侧动、静脉后支处；为第二骶神经后支通过处。
次髎,主治,疝气，月经不调，痛经，带下，小便不利，遗精，腰痛，下肢痿痹。
次髎,配伍,配三阴交、中极、肾俞治遗尿；配血海治痛经。
次髎,刺灸法,直刺1～1.5寸。
中髎,拼音,Zhōngliáo
中髎,定位,在骶部，当次髎下内方，适对第４骶后孔处。
中髎,解剖,在臀大肌起始部；当骶外侧动、静脉后支处；为第三骶神经后支通过处。
中髎,主治,便秘，泄泻，小便不利，月经不调，带下，腰痛。
中髎,配伍,配足三里治便秘。
中髎,刺灸法,直刺1～1.5寸。
下髎,拼音,Xiàliáo
下髎,定位,在骶部，当[定位]在骶部，当中髎下内方，适对第４骶后孔处。
下髎,解剖,在臀大肌起始部；有臀下动、静脉分支；当第四骶神经后支通过处。
下髎,主治,腹痛，便秘，小便不利，带下，腰痛。
下髎,配伍,配气海治腹痛。
下髎,刺灸法,直刺1～1.5寸。
会阳,拼音,Huìyáng
会阳,定位,在骶部，尾骨端旁开０.５寸。
会阳,解剖,有臀大肌；有臀下动、静脉分支；布有尾骨神经；深部有阴部神经干。
会阳,主治,泄泻，便血，痔疾，阳萎，带下。
会阳,配伍,配承山治痔疾。
会阳,刺灸法,直刺1～1.5寸。
承扶,拼音,Chéngfú
承扶,定位,在大腿后面，臀下横纹的中点。
承扶,解剖,在臀大肌下缘；有坐骨神经伴行的动、静脉；布有股后皮神经，深层为坐骨神经。
承扶,主治,腰骶臀股部疼痛，痔疾。
承扶,配伍,配委中治腰骶疼痛。
承扶,刺灸法,直刺1～2寸。
殷门,拼音,Yīnmén
殷门,定位,在大腿后面，当承扶与委中的连线上，承扶下６寸。
殷门,解剖,在半腱肌与股二头肌之间，深层为大收肌；外侧为股深动、静脉第三穿支；布有股后皮神经，深层正当坐骨神经。
殷门,主治,腰痛，下肢痿痹。
殷门,配伍,配大肠俞治腰痛。
殷门,刺灸法,直刺1～2寸。
浮郄,拼音,Fúxì
浮郄,定位,在腘横纹外侧端，委阳上１寸，股二头肌腱的内侧。
浮郄,解剖,在股二头肌键内侧；有膝上外侧动、静脉；布有股后皮神经，正当腓总神经处。
浮郄,主治,便秘，股腘部疼痛，麻木。
浮郄,配伍,配承山治下肢痿痹。
浮郄,刺灸法,直刺1～1.5寸。
委阳,拼音,Wěiyáng
委阳,定位,在腘横纹外侧端，当股二头肌腱的内侧。
委阳,解剖,在股二头肌键内侧；有膝上外侧动、静脉；布有股后皮神经，正当腓总神经处。
委阳,主治,腹满，小便不利，腰脊强痛，腿足挛痛。
委阳,配伍,配三焦俞、肾俞、治小便不利。
委阳,刺灸法,直刺1～1.5寸。
委阳,附注,三焦经下合穴。
委中,拼音,Wěizhōng
委中,定位,在腘横纹中点，当股二头肌腱与半腱肌肌腱的中间。
委中,解剖,在腘窝正中，有腘筋膜；皮下有股腘静脉，深层内侧为腘静脉，最深层为腘动有股后皮神经，正当胫神经处。
委中,主治,腰痛，下肢痿痹，腹痛，吐泻，小便不利，遗尿，丹毒。
委中,配伍,配大肠俞治腰痛。
委中,刺灸法,直刺1～1.5寸，或用三棱针点刺腘静脉出血。
委中,附注,足太阳经所入为“合”。
附分,拼音,Fùfēn
附分,定位,在背部，当第２胸椎棘突下，旁开３寸。
